Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=E7BDC6600B1CE45B30CC3EF1AEDD079B?SERIES_KEY=120.EXR.D.HUF.EUR.SP00.A&start=01-01-1999&end=18-08-2022&submitOptions.x=0&submitOptions.y=0&trans=N
;EXR.D.HUF.EUR.SP00.A
;ECB reference exchange rate, Hungarian forint/Euro, 2:15 pm (C.E.T.)
Collection:;Average of observations through period (A)
Period\Unit:;[Hungarian forint ]
;;obs. status;obs. comment
2011-11-01;309,48;Normal value (A);
2011-10-31;303,55;Normal value (A);
2011-10-28;300,35;Normal value (A);
2011-10-27;302,20;Normal value (A);
2011-10-26;297,86;Normal value (A);
2011-10-25;297,07;Normal value (A);
2011-10-24;297,40;Normal value (A);
2011-10-21;298,46;Normal value (A);
2011-10-20;296,24;Normal value (A);
2011-10-19;295,80;Normal value (A);
2011-10-18;298,40;Normal value (A);
2011-10-17;293,94;Normal value (A);
2011-10-14;292,70;Normal value (A);
2011-10-13;291,80;Normal value (A);
2011-10-12;292,03;Normal value (A);
2011-10-11;295,05;Normal value (A);
2011-10-10;293,60;Normal value (A);
2011-10-07;296,63;Normal value (A);
2011-10-06;296,55;Normal value (A);
2011-10-05;298,84;Normal value (A);
2011-10-04;299,63;Normal value (A);
2011-10-03;294,50;Normal value (A);
2011-09-30;292,55;Normal value (A);
2011-09-29;291,85;Normal value (A);
2011-09-28;290,38;Normal value (A);
2011-09-27;286,36;Normal value (A);
2011-09-26;289,42;Normal value (A);
2011-09-23;291,75;Normal value (A);
2011-09-22;293,06;Normal value (A);
2011-09-21;293,05;Normal value (A);
2011-09-20;290,33;Normal value (A);
2011-09-19;290,41;Normal value (A);
2011-09-16;287,25;Normal value (A);
2011-09-15;285,50;Normal value (A);
2011-09-14;286,23;Normal value (A);
2011-09-13;283,59;Normal value (A);
2011-09-12;282,55;Normal value (A);
2011-09-09;280,07;Normal value (A);
2011-09-08;276,95;Normal value (A);
2011-09-07;276,35;Normal value (A);
2011-09-06;277,23;Normal value (A);
2011-09-05;277,62;Normal value (A);
2011-09-02;275,43;Normal value (A);
2011-09-01;273,11;Normal value (A);
2011-08-31;272,00;Normal value (A);
2011-08-30;272,79;Normal value (A);
2011-08-29;272,55;Normal value (A);
2011-08-26;272,66;Normal value (A);
2011-08-25;272,40;Normal value (A);
2011-08-24;272,05;Normal value (A);
2011-08-23;271,78;Normal value (A);
2011-08-22;272,83;Normal value (A);
2011-08-19;272,15;Normal value (A);
2011-08-18;272,13;Normal value (A);
2011-08-17;269,40;Normal value (A);
2011-08-16;271,18;Normal value (A);
2011-08-15;271,66;Normal value (A);
2011-08-12;273,68;Normal value (A);
2011-08-11;276,77;Normal value (A);
2011-08-10;273,18;Normal value (A);
2011-08-09;274,70;Normal value (A);
2011-08-08;273,95;Normal value (A);
2011-08-05;274,10;Normal value (A);
2011-08-04;272,09;Normal value (A);
2011-08-03;272,38;Normal value (A);
2011-08-02;270,12;Normal value (A);
2011-08-01;267,90;Normal value (A);
2011-07-29;269,97;Normal value (A);
2011-07-28;268,20;Normal value (A);
2011-07-27;268,20;Normal value (A);
2011-07-26;267,78;Normal value (A);
2011-07-25;268,95;Normal value (A);
2011-07-22;266,65;Normal value (A);
2011-07-21;267,93;Normal value (A);
2011-07-20;269,18;Normal value (A);
2011-07-19;271,50;Normal value (A);
2011-07-18;272,98;Normal value (A);
2011-07-15;270,70;Normal value (A);
2011-07-14;269,60;Normal value (A);
2011-07-13;269,88;Normal value (A);
2011-07-12;267,90;Normal value (A);
2011-07-11;266,14;Normal value (A);
2011-07-08;263,08;Normal value (A);
2011-07-07;264,00;Normal value (A);
2011-07-06;265,06;Normal value (A);
2011-07-05;264,64;Normal value (A);
2011-07-04;264,03;Normal value (A);
2011-07-01;264,93;Normal value (A);
2011-06-30;266,11;Normal value (A);
2011-06-29;267,05;Normal value (A);
2011-06-28;269,73;Normal value (A);
2011-06-27;268,96;Normal value (A);
2011-06-24;269,50;Normal value (A);
2011-06-23;269,36;Normal value (A);
2011-06-22;267,60;Normal value (A);
2011-06-21;266,93;Normal value (A);
2011-06-20;269,00;Normal value (A);
2011-06-17;267,66;Normal value (A);
2011-06-16;269,20;Normal value (A);
2011-06-15;265,85;Normal value (A);
2011-06-14;264,51;Normal value (A);
2011-06-13;265,30;Normal value (A);
2011-06-10;264,55;Normal value (A);
2011-06-09;264,68;Normal value (A);
2011-06-08;266,15;Normal value (A);
2011-06-07;265,44;Normal value (A);
2011-06-06;266,03;Normal value (A);
2011-06-03;265,38;Normal value (A);
2011-06-02;265,95;Normal value (A);
2011-06-01;266,23;Normal value (A);
2011-05-31;266,85;Normal value (A);
2011-05-30;268,07;Normal value (A);
2011-05-27;268,58;Normal value (A);
2011-05-26;269,02;Normal value (A);
2011-05-25;270,06;Normal value (A);
2011-05-24;269,40;Normal value (A);
2011-05-23;270,16;Normal value (A);
2011-05-20;268,80;Normal value (A);
2011-05-19;267,97;Normal value (A);
2011-05-18;269,03;Normal value (A);
2011-05-17;267,69;Normal value (A);
2011-05-16;267,93;Normal value (A);
2011-05-13;267,05;Normal value (A);
2011-05-12;266,08;Normal value (A);
2011-05-11;263,67;Normal value (A);
2011-05-10;263,85;Normal value (A);
2011-05-09;264,40;Normal value (A);
2011-05-06;264,95;Normal value (A);
2011-05-05;265,26;Normal value (A);
2011-05-04;264,68;Normal value (A);
2011-05-03;265,53;Normal value (A);
2011-05-02;264,05;Normal value (A);
2011-04-29;264,50;Normal value (A);
2011-04-28;264,48;Normal value (A);
2011-04-27;264,79;Normal value (A);
2011-04-26;264,48;Normal value (A);
2011-04-25;-;Missing value; holiday or weekend (H);
2011-04-22;-;Missing value; holiday or weekend (H);
2011-04-21;263,80;Normal value (A);
2011-04-20;264,05;Normal value (A);
2011-04-19;266,88;Normal value (A);
2011-04-18;267,34;Normal value (A);
2011-04-15;267,18;Normal value (A);
2011-04-14;267,48;Normal value (A);
2011-04-13;266,17;Normal value (A);
2011-04-12;266,35;Normal value (A);
2011-04-11;265,25;Normal value (A);
2011-04-08;264,09;Normal value (A);
2011-04-07;264,28;Normal value (A);
2011-04-06;263,24;Normal value (A);
2011-04-05;264,44;Normal value (A);
2011-04-04;265,40;Normal value (A);
2011-04-01;266,26;Normal value (A);
2011-03-31;265,72;Normal value (A);
2011-03-30;267,10;Normal value (A);
2011-03-29;267,78;Normal value (A);
2011-03-28;267,30;Normal value (A);
2011-03-25;266,33;Normal value (A);
2011-03-24;267,78;Normal value (A);
2011-03-23;269,60;Normal value (A);
2011-03-22;270,43;Normal value (A);
2011-03-21;271,15;Normal value (A);
2011-03-18;273,35;Normal value (A);
2011-03-17;273,74;Normal value (A);
2011-03-16;273,40;Normal value (A);
2011-03-15;274,04;Normal value (A);
2011-03-14;273,05;Normal value (A);
2011-03-11;272,80;Normal value (A);
2011-03-10;272,98;Normal value (A);
2011-03-09;272,88;Normal value (A);
2011-03-08;272,62;Normal value (A);
2011-03-07;271,66;Normal value (A);
2011-03-04;271,95;Normal value (A);
2011-03-03;270,90;Normal value (A);
2011-03-02;271,28;Normal value (A);
2011-03-01;272,64;Normal value (A);
2011-02-28;270,72;Normal value (A);
2011-02-25;272,81;Normal value (A);
2011-02-24;273,40;Normal value (A);
2011-02-23;272,65;Normal value (A);
2011-02-22;272,73;Normal value (A);
2011-02-21;271,01;Normal value (A);
2011-02-18;270,05;Normal value (A);
2011-02-17;269,25;Normal value (A);
2011-02-16;270,77;Normal value (A);
2011-02-15;271,06;Normal value (A);
2011-02-14;272,35;Normal value (A);
2011-02-11;271,67;Normal value (A);
2011-02-10;273,28;Normal value (A);
2011-02-09;271,61;Normal value (A);
2011-02-08;269,23;Normal value (A);
2011-02-07;269,17;Normal value (A);
2011-02-04;270,35;Normal value (A);
2011-02-03;269,75;Normal value (A);
2011-02-02;269,59;Normal value (A);
2011-02-01;271,60;Normal value (A);
2011-01-31;273,85;Normal value (A);
2011-01-28;271,70;Normal value (A);
2011-01-27;272,90;Normal value (A);
2011-01-26;274,23;Normal value (A);
2011-01-25;275,22;Normal value (A);
2011-01-24;274,02;Normal value (A);
2011-01-21;274,24;Normal value (A);
2011-01-20;275,00;Normal value (A);
2011-01-19;272,40;Normal value (A);
2011-01-18;272,60;Normal value (A);
2011-01-17;274,74;Normal value (A);
2011-01-14;276,60;Normal value (A);
2011-01-13;274,61;Normal value (A);
2011-01-12;275,57;Normal value (A);
2011-01-11;279,24;Normal value (A);
2011-01-10;280,42;Normal value (A);
2011-01-07;277,27;Normal value (A);
2011-01-06;275,95;Normal value (A);
2011-01-05;277,05;Normal value (A);
2011-01-04;275,85;Normal value (A);
2011-01-03;278,39;Normal value (A);
2010-12-31;277,95;Normal value (A);
2010-12-30;279,00;Normal value (A);
2010-12-29;279,40;Normal value (A);
2010-12-28;279,15;Normal value (A);
2010-12-27;278,83;Normal value (A);
2010-12-24;279,20;Normal value (A);
2010-12-23;278,43;Normal value (A);
2010-12-22;276,20;Normal value (A);
2010-12-21;275,60;Normal value (A);
2010-12-20;274,83;Normal value (A);
2010-12-17;272,75;Normal value (A);
2010-12-16;273,70;Normal value (A);
2010-12-15;274,63;Normal value (A);
2010-12-14;277,33;Normal value (A);
2010-12-13;278,34;Normal value (A);
2010-12-10;278,20;Normal value (A);
2010-12-09;277,39;Normal value (A);
2010-12-08;278,85;Normal value (A);
2010-12-07;278,00;Normal value (A);
2010-12-06;280,15;Normal value (A);
2010-12-03;278,03;Normal value (A);
2010-12-02;278,75;Normal value (A);
2010-12-01;280,45;Normal value (A);
2010-11-30;284,18;Normal value (A);
2010-11-29;280,58;Normal value (A);
2010-11-26;279,90;Normal value (A);
2010-11-25;277,35;Normal value (A);
2010-11-24;275,58;Normal value (A);
2010-11-23;275,30;Normal value (A);
2010-11-22;273,11;Normal value (A);
2010-11-19;274,25;Normal value (A);
2010-11-18;275,09;Normal value (A);
2010-11-17;278,11;Normal value (A);
2010-11-16;276,95;Normal value (A);
2010-11-15;276,48;Normal value (A);
2010-11-12;276,01;Normal value (A);
2010-11-11;276,54;Normal value (A);
2010-11-10;273,40;Normal value (A);
2010-11-09;274,15;Normal value (A);
2010-11-08;274,60;Normal value (A);
2010-11-05;273,71;Normal value (A);
2010-11-04;272,40;Normal value (A);
2010-11-03;272,00;Normal value (A);
2010-11-02;270,75;Normal value (A);
2010-11-01;270,75;Normal value (A);
2010-10-29;271,76;Normal value (A);
2010-10-28;273,25;Normal value (A);
2010-10-27;275,04;Normal value (A);
2010-10-26;274,60;Normal value (A);
2010-10-25;273,53;Normal value (A);
2010-10-22;275,35;Normal value (A);
2010-10-21;274,50;Normal value (A);
2010-10-20;275,58;Normal value (A);
2010-10-19;276,89;Normal value (A);
2010-10-18;276,63;Normal value (A);
2010-10-15;274,18;Normal value (A);
2010-10-14;273,63;Normal value (A);
2010-10-13;273,45;Normal value (A);
2010-10-12;273,85;Normal value (A);
2010-10-11;274,03;Normal value (A);
2010-10-08;275,55;Normal value (A);
2010-10-07;273,33;Normal value (A);
2010-10-06;270,33;Normal value (A);
2010-10-05;272,73;Normal value (A);
2010-10-04;272,22;Normal value (A);
2010-10-01;273,85;Normal value (A);
2010-09-30;275,75;Normal value (A);
2010-09-29;276,15;Normal value (A);
2010-09-28;277,95;Normal value (A);
2010-09-27;276,69;Normal value (A);
2010-09-24;278,75;Normal value (A);
2010-09-23;280,85;Normal value (A);
2010-09-22;279,65;Normal value (A);
2010-09-21;279,88;Normal value (A);
2010-09-20;281,25;Normal value (A);
2010-09-17;282,82;Normal value (A);
2010-09-16;281,62;Normal value (A);
2010-09-15;281,82;Normal value (A);
2010-09-14;283,76;Normal value (A);
2010-09-13;283,76;Normal value (A);
2010-09-10;283,85;Normal value (A);
2010-09-09;285,76;Normal value (A);
2010-09-08;288,95;Normal value (A);
2010-09-07;286,45;Normal value (A);
2010-09-06;284,70;Normal value (A);
2010-09-03;284,50;Normal value (A);
2010-09-02;285,03;Normal value (A);
2010-09-01;286,30;Normal value (A);
2010-08-31;287,68;Normal value (A);
2010-08-30;283,49;Normal value (A);
2010-08-27;284,68;Normal value (A);
2010-08-26;283,63;Normal value (A);
2010-08-25;284,35;Normal value (A);
2010-08-24;285,40;Normal value (A);
2010-08-23;280,71;Normal value (A);
2010-08-20;279,40;Normal value (A);
2010-08-19;276,89;Normal value (A);
2010-08-18;278,37;Normal value (A);
2010-08-17;279,50;Normal value (A);
2010-08-16;280,20;Normal value (A);
2010-08-13;281,08;Normal value (A);
2010-08-12;282,43;Normal value (A);
2010-08-11;282,12;Normal value (A);
2010-08-10;279,05;Normal value (A);
2010-08-09;279,28;Normal value (A);
2010-08-06;278,65;Normal value (A);
2010-08-05;279,68;Normal value (A);
2010-08-04;281,89;Normal value (A);
2010-08-03;281,81;Normal value (A);
2010-08-02;281,65;Normal value (A);
2010-07-30;285,62;Normal value (A);
2010-07-29;283,81;Normal value (A);
2010-07-28;282,24;Normal value (A);
2010-07-27;283,74;Normal value (A);
2010-07-26;287,37;Normal value (A);
2010-07-23;287,17;Normal value (A);
2010-07-22;283,25;Normal value (A);
2010-07-21;284,90;Normal value (A);
2010-07-20;290,57;Normal value (A);
2010-07-19;289,18;Normal value (A);
2010-07-16;280,85;Normal value (A);
2010-07-15;278,93;Normal value (A);
2010-07-14;278,02;Normal value (A);
2010-07-13;277,80;Normal value (A);
2010-07-12;278,91;Normal value (A);
2010-07-09;280,24;Normal value (A);
2010-07-08;281,27;Normal value (A);
2010-07-07;284,47;Normal value (A);
2010-07-06;284,85;Normal value (A);
2010-07-05;286,20;Normal value (A);
2010-07-02;285,70;Normal value (A);
2010-07-01;287,45;Normal value (A);
2010-06-30;286,00;Normal value (A);
2010-06-29;286,76;Normal value (A);
2010-06-28;285,02;Normal value (A);
2010-06-25;285,00;Normal value (A);
2010-06-24;283,78;Normal value (A);
2010-06-23;280,38;Normal value (A);
2010-06-22;280,43;Normal value (A);
2010-06-21;278,03;Normal value (A);
2010-06-18;280,05;Normal value (A);
2010-06-17;279,21;Normal value (A);
2010-06-16;281,07;Normal value (A);
2010-06-15;280,10;Normal value (A);
2010-06-14;279,00;Normal value (A);
2010-06-11;279,60;Normal value (A);
2010-06-10;282,04;Normal value (A);
2010-06-09;281,80;Normal value (A);
2010-06-08;282,20;Normal value (A);
2010-06-07;285,70;Normal value (A);
2010-06-04;288,80;Normal value (A);
2010-06-03;275,20;Normal value (A);
2010-06-02;275,88;Normal value (A);
2010-06-01;276,62;Normal value (A);
2010-05-31;275,53;Normal value (A);
2010-05-28;273,93;Normal value (A);
2010-05-27;276,86;Normal value (A);
2010-05-26;277,44;Normal value (A);
2010-05-25;280,38;Normal value (A);
2010-05-24;278,34;Normal value (A);
2010-05-21;281,33;Normal value (A);
2010-05-20;283,00;Normal value (A);
2010-05-19;279,50;Normal value (A);
2010-05-18;277,38;Normal value (A);
2010-05-17;277,82;Normal value (A);
2010-05-14;276,13;Normal value (A);
2010-05-13;272,45;Normal value (A);
2010-05-12;273,76;Normal value (A);
2010-05-11;276,10;Normal value (A);
2010-05-10;273,20;Normal value (A);
2010-05-07;281,60;Normal value (A);
2010-05-06;279,42;Normal value (A);
2010-05-05;276,83;Normal value (A);
2010-05-04;273,40;Normal value (A);
2010-05-03;268,03;Normal value (A);
2010-04-30;266,82;Normal value (A);
2010-04-29;268,28;Normal value (A);
2010-04-28;269,90;Normal value (A);
2010-04-27;266,75;Normal value (A);
2010-04-26;263,42;Normal value (A);
2010-04-23;264,45;Normal value (A);
2010-04-22;264,50;Normal value (A);
2010-04-21;264,13;Normal value (A);
2010-04-20;264,93;Normal value (A);
2010-04-19;265,38;Normal value (A);
2010-04-16;263,45;Normal value (A);
2010-04-15;263,30;Normal value (A);
2010-04-14;262,65;Normal value (A);
2010-04-13;264,58;Normal value (A);
2010-04-12;265,21;Normal value (A);
2010-04-09;267,70;Normal value (A);
2010-04-08;268,90;Normal value (A);
2010-04-07;266,20;Normal value (A);
2010-04-06;265,28;Normal value (A);
2010-04-05;-;Missing value; holiday or weekend (H);
2010-04-02;-;Missing value; holiday or weekend (H);
2010-04-01;264,78;Normal value (A);
2010-03-31;265,75;Normal value (A);
2010-03-30;265,90;Normal value (A);
2010-03-29;266,00;Normal value (A);
2010-03-26;265,03;Normal value (A);
2010-03-25;263,73;Normal value (A);
2010-03-24;264,03;Normal value (A);
2010-03-23;264,61;Normal value (A);
2010-03-22;265,30;Normal value (A);
2010-03-19;262,70;Normal value (A);
2010-03-18;261,92;Normal value (A);
2010-03-17;262,24;Normal value (A);
2010-03-16;264,19;Normal value (A);
2010-03-15;264,60;Normal value (A);
2010-03-12;266,15;Normal value (A);
2010-03-11;266,92;Normal value (A);
2010-03-10;266,87;Normal value (A);
2010-03-09;267,20;Normal value (A);
2010-03-08;265,34;Normal value (A);
2010-03-05;266,78;Normal value (A);
2010-03-04;266,50;Normal value (A);
2010-03-03;266,02;Normal value (A);
2010-03-02;266,90;Normal value (A);
2010-03-01;269,45;Normal value (A);
2010-02-26;269,90;Normal value (A);
2010-02-25;270,45;Normal value (A);
2010-02-24;270,50;Normal value (A);
2010-02-23;269,80;Normal value (A);
2010-02-22;269,75;Normal value (A);
2010-02-19;271,30;Normal value (A);
2010-02-18;271,18;Normal value (A);
2010-02-17;270,83;Normal value (A);
2010-02-16;272,37;Normal value (A);
2010-02-15;271,38;Normal value (A);
2010-02-12;270,48;Normal value (A);
2010-02-11;270,50;Normal value (A);
2010-02-10;271,55;Normal value (A);
2010-02-09;272,00;Normal value (A);
2010-02-08;273,90;Normal value (A);
2010-02-05;274,10;Normal value (A);
2010-02-04;272,60;Normal value (A);
2010-02-03;270,02;Normal value (A);
2010-02-02;270,25;Normal value (A);
2010-02-01;271,35;Normal value (A);
2010-01-29;271,15;Normal value (A);
2010-01-28;271,30;Normal value (A);
2010-01-27;271,75;Normal value (A);
2010-01-26;272,75;Normal value (A);
2010-01-25;271,18;Normal value (A);
2010-01-22;272,02;Normal value (A);
2010-01-21;270,43;Normal value (A);
2010-01-20;268,99;Normal value (A);
2010-01-19;267,94;Normal value (A);
2010-01-18;267,75;Normal value (A);
2010-01-15;266,80;Normal value (A);
2010-01-14;267,40;Normal value (A);
2010-01-13;266,82;Normal value (A);
2010-01-12;268,18;Normal value (A);
2010-01-11;266,70;Normal value (A);
2010-01-08;269,37;Normal value (A);
2010-01-07;270,30;Normal value (A);
2010-01-06;268,88;Normal value (A);
2010-01-05;269,00;Normal value (A);
2010-01-04;269,85;Normal value (A);
2010-01-01;-;Missing value; holiday or weekend (H);
2009-12-31;270,42;Normal value (A);
2009-12-30;272,10;Normal value (A);
2009-12-29;272,54;Normal value (A);
2009-12-28;273,30;Normal value (A);
2009-12-25;-;Missing value; holiday or weekend (H);
2009-12-24;272,93;Normal value (A);
2009-12-23;273,70;Normal value (A);
2009-12-22;274,28;Normal value (A);
2009-12-21;274,53;Normal value (A);
2009-12-18;277,05;Normal value (A);
2009-12-17;278,07;Normal value (A);
2009-12-16;277,58;Normal value (A);
2009-12-15;277,10;Normal value (A);
2009-12-14;273,18;Normal value (A);
2009-12-11;273,12;Normal value (A);
2009-12-10;272,05;Normal value (A);
2009-12-09;273,71;Normal value (A);
2009-12-08;273,42;Normal value (A);
2009-12-07;270,36;Normal value (A);
2009-12-04;269,14;Normal value (A);
2009-12-03;269,90;Normal value (A);
2009-12-02;270,50;Normal value (A);
2009-12-01;271,86;Normal value (A);
2009-11-30;273,88;Normal value (A);
2009-11-27;272,32;Normal value (A);
2009-11-26;269,77;Normal value (A);
2009-11-25;267,38;Normal value (A);
2009-11-24;267,65;Normal value (A);
2009-11-23;267,55;Normal value (A);
2009-11-20;269,68;Normal value (A);
2009-11-19;266,96;Normal value (A);
2009-11-18;265,55;Normal value (A);
2009-11-17;266,00;Normal value (A);
2009-11-16;267,43;Normal value (A);
2009-11-13;268,80;Normal value (A);
2009-11-12;271,14;Normal value (A);
2009-11-11;269,27;Normal value (A);
2009-11-10;272,19;Normal value (A);
2009-11-09;272,74;Normal value (A);
2009-11-06;274,82;Normal value (A);
2009-11-05;275,65;Normal value (A);
2009-11-04;277,15;Normal value (A);
2009-11-03;278,20;Normal value (A);
2009-11-02;275,28;Normal value (A);
2009-10-30;273,39;Normal value (A);
2009-10-29;272,95;Normal value (A);
2009-10-28;272,78;Normal value (A);
2009-10-27;268,60;Normal value (A);
2009-10-26;267,45;Normal value (A);
2009-10-23;265,96;Normal value (A);
2009-10-22;265,92;Normal value (A);
2009-10-21;265,32;Normal value (A);
2009-10-20;264,59;Normal value (A);
2009-10-19;266,43;Normal value (A);
2009-10-16;267,85;Normal value (A);
2009-10-15;268,00;Normal value (A);
2009-10-14;267,31;Normal value (A);
2009-10-13;268,79;Normal value (A);
2009-10-12;269,45;Normal value (A);
2009-10-09;270,60;Normal value (A);
2009-10-08;270,20;Normal value (A);
2009-10-07;267,90;Normal value (A);
2009-10-06;267,03;Normal value (A);
2009-10-05;267,24;Normal value (A);
2009-10-02;268,65;Normal value (A);
2009-10-01;270,26;Normal value (A);
2009-09-30;269,70;Normal value (A);
2009-09-29;269,55;Normal value (A);
2009-09-28;269,66;Normal value (A);
2009-09-25;270,00;Normal value (A);
2009-09-24;270,15;Normal value (A);
2009-09-23;271,27;Normal value (A);
2009-09-22;271,42;Normal value (A);
2009-09-21;272,37;Normal value (A);
2009-09-18;271,18;Normal value (A);
2009-09-17;270,61;Normal value (A);
2009-09-16;269,84;Normal value (A);
2009-09-15;272,02;Normal value (A);
2009-09-14;274,33;Normal value (A);
2009-09-11;273,33;Normal value (A);
2009-09-10;272,28;Normal value (A);
2009-09-09;271,25;Normal value (A);
2009-09-08;270,98;Normal value (A);
2009-09-07;272,24;Normal value (A);
2009-09-04;274,35;Normal value (A);
2009-09-03;273,95;Normal value (A);
2009-09-02;276,37;Normal value (A);
2009-09-01;273,65;Normal value (A);
2009-08-31;271,85;Normal value (A);
2009-08-28;270,74;Normal value (A);
2009-08-27;268,50;Normal value (A);
2009-08-26;267,70;Normal value (A);
2009-08-25;266,96;Normal value (A);
2009-08-24;268,15;Normal value (A);
2009-08-21;268,59;Normal value (A);
2009-08-20;271,50;Normal value (A);
2009-08-19;274,41;Normal value (A);
2009-08-18;272,66;Normal value (A);
2009-08-17;274,07;Normal value (A);
2009-08-14;269,20;Normal value (A);
2009-08-13;268,21;Normal value (A);
2009-08-12;273,60;Normal value (A);
2009-08-11;273,10;Normal value (A);
2009-08-10;269,31;Normal value (A);
2009-08-07;272,80;Normal value (A);
2009-08-06;269,89;Normal value (A);
2009-08-05;267,00;Normal value (A);
2009-08-04;267,05;Normal value (A);
2009-08-03;265,70;Normal value (A);
2009-07-31;266,53;Normal value (A);
2009-07-30;268,31;Normal value (A);
2009-07-29;269,75;Normal value (A);
2009-07-28;267,55;Normal value (A);
2009-07-27;268,00;Normal value (A);
2009-07-24;266,59;Normal value (A);
2009-07-23;271,26;Normal value (A);
2009-07-22;271,55;Normal value (A);
2009-07-21;271,30;Normal value (A);
2009-07-20;272,90;Normal value (A);
2009-07-17;274,20;Normal value (A);
2009-07-16;272,82;Normal value (A);
2009-07-15;273,25;Normal value (A);
2009-07-14;275,79;Normal value (A);
2009-07-13;277,96;Normal value (A);
2009-07-10;277,50;Normal value (A);
2009-07-09;275,00;Normal value (A);
2009-07-08;278,10;Normal value (A);
2009-07-07;273,20;Normal value (A);
2009-07-06;273,70;Normal value (A);
2009-07-03;272,55;Normal value (A);
2009-07-02;268,45;Normal value (A);
2009-07-01;271,11;Normal value (A);
2009-06-30;271,55;Normal value (A);
2009-06-29;276,21;Normal value (A);
2009-06-26;275,30;Normal value (A);
2009-06-25;277,10;Normal value (A);
2009-06-24;277,75;Normal value (A);
2009-06-23;281,20;Normal value (A);
2009-06-22;278,62;Normal value (A);
2009-06-19;279,50;Normal value (A);
2009-06-18;283,57;Normal value (A);
2009-06-17;283,80;Normal value (A);
2009-06-16;280,08;Normal value (A);
2009-06-15;280,40;Normal value (A);
2009-06-12;277,81;Normal value (A);
2009-06-11;280,20;Normal value (A);
2009-06-10;278,17;Normal value (A);
2009-06-09;280,13;Normal value (A);
2009-06-08;287,19;Normal value (A);
2009-06-05;289,10;Normal value (A);
2009-06-04;287,10;Normal value (A);
2009-06-03;282,90;Normal value (A);
2009-06-02;281,70;Normal value (A);
2009-06-01;280,73;Normal value (A);
2009-05-29;282,48;Normal value (A);
2009-05-28;284,75;Normal value (A);
2009-05-27;282,85;Normal value (A);
2009-05-26;282,43;Normal value (A);
2009-05-25;280,60;Normal value (A);
2009-05-22;278,39;Normal value (A);
2009-05-21;278,43;Normal value (A);
2009-05-20;277,85;Normal value (A);
2009-05-19;278,18;Normal value (A);
2009-05-18;284,15;Normal value (A);
2009-05-15;289,40;Normal value (A);
2009-05-14;289,73;Normal value (A);
2009-05-13;281,44;Normal value (A);
2009-05-12;278,78;Normal value (A);
2009-05-11;277,45;Normal value (A);
2009-05-08;277,75;Normal value (A);
2009-05-07;276,60;Normal value (A);
2009-05-06;285,83;Normal value (A);
2009-05-05;283,26;Normal value (A);
2009-05-04;288,23;Normal value (A);
2009-05-01;-;Missing value; holiday or weekend (H);
2009-04-30;289,73;Normal value (A);
2009-04-29;289,20;Normal value (A);
2009-04-28;295,95;Normal value (A);
2009-04-27;295,79;Normal value (A);
2009-04-24;295,82;Normal value (A);
2009-04-23;296,81;Normal value (A);
2009-04-22;298,00;Normal value (A);
2009-04-21;300,35;Normal value (A);
2009-04-20;299,20;Normal value (A);
2009-04-17;293,85;Normal value (A);
2009-04-16;293,34;Normal value (A);
2009-04-15;290,79;Normal value (A);
2009-04-14;289,50;Normal value (A);
2009-04-13;-;Missing value; holiday or weekend (H);
2009-04-10;-;Missing value; holiday or weekend (H);
2009-04-09;289,85;Normal value (A);
2009-04-08;296,88;Normal value (A);
2009-04-07;296,80;Normal value (A);
2009-04-06;294,30;Normal value (A);
2009-04-03;295,58;Normal value (A);
2009-04-02;298,65;Normal value (A);
2009-04-01;304,81;Normal value (A);
2009-03-31;308,18;Normal value (A);
2009-03-30;308,65;Normal value (A);
2009-03-27;304,37;Normal value (A);
2009-03-26;302,00;Normal value (A);
2009-03-25;300,22;Normal value (A);
2009-03-24;300,85;Normal value (A);
2009-03-23;304,15;Normal value (A);
2009-03-20;298,36;Normal value (A);
2009-03-19;298,50;Normal value (A);
2009-03-18;301,70;Normal value (A);
2009-03-17;299,68;Normal value (A);
2009-03-16;295,53;Normal value (A);
2009-03-13;297,71;Normal value (A);
2009-03-12;302,25;Normal value (A);
2009-03-11;300,26;Normal value (A);
2009-03-10;305,99;Normal value (A);
2009-03-09;310,60;Normal value (A);
2009-03-06;316,50;Normal value (A);
2009-03-05;311,63;Normal value (A);
2009-03-04;310,05;Normal value (A);
2009-03-03;306,84;Normal value (A);
2009-03-02;307,03;Normal value (A);
2009-02-27;300,46;Normal value (A);
2009-02-26;300,02;Normal value (A);
2009-02-25;299,63;Normal value (A);
2009-02-24;299,05;Normal value (A);
2009-02-23;297,05;Normal value (A);
2009-02-20;304,45;Normal value (A);
2009-02-19;300,39;Normal value (A);
2009-02-18;302,72;Normal value (A);
2009-02-17;307,15;Normal value (A);
2009-02-16;303,35;Normal value (A);
2009-02-13;298,22;Normal value (A);
2009-02-12;298,55;Normal value (A);
2009-02-11;295,99;Normal value (A);
2009-02-10;287,70;Normal value (A);
2009-02-09;287,90;Normal value (A);
2009-02-06;292,60;Normal value (A);
2009-02-05;294,99;Normal value (A);
2009-02-04;298,50;Normal value (A);
2009-02-03;299,25;Normal value (A);
2009-02-02;297,98;Normal value (A);
2009-01-30;299,08;Normal value (A);
2009-01-29;287,28;Normal value (A);
2009-01-28;284,80;Normal value (A);
2009-01-27;285,32;Normal value (A);
